date_year,date_quarter,eps_actuals
2025,4,74.39
2025,3,70.97
2025,2,67.02
2025,1,63.68
2024,4,65.78
2024,3,62.78
2024,2,60.54
2024,1,56.45
2023,4,55.56
2023,3,58.91
2023,2,54.51
2023,1,53.33
2022,4,53.49
2022,3,55.65
2022,2,56.69
2022,1,54.09
2021,4,55.38
2021,3,53.87
2021,2,52.80
2021,1,49.04
2020,4,42.31
2020,3,39.40
2020,2,24.2
2020,1,33.6
2019,4,41.78
2019,3,42.21
2019,2,41.59
2019,1,38.8
